user_id,task_id,query_id,query,satisfaction
0,3,0,白衬衫搭配,4
0,3,1,白衬衫搭配的裤子,5
0,3,2,白衬衫搭配的鞋子,5
0,4,0,白花瓣黄蕊,3
0,4,1,芍药花,3
0,4,2,白色芍药花,5
0,11,0,哈利波特,5
0,11,2,佛地魔,5
0,11,3,霍格沃兹,5
0,9,0,舞会,5
0,9,1,城堡舞会,1
0,9,2,舞会酒杯,1
0,9,3,灰姑娘舞会,3
0,9,4,学生舞会,1
0,9,5,古堡舞会,1
0,8,0,帕丁顿熊,5
0,8,1,动画片,3
0,8,2,冰雪奇缘,5
0,8,3,最近上映的动画片,4
0,10,0,美国大选电视辩论,5
0,10,1,特朗普胜选演讲,5
0,12,0,热带雨林,5
0,12,1,原始森林,3
0,6,0,搞笑图片,4
0,6,1,傅园慧表情包,5
0,6,2,葛优瘫,4
0,5,0,宋慧乔,4
0,5,1,宋慧乔宋仲基,5
0,5,4,艾玛格兰杰,3
0,5,5,赫敏,5
0,5,6,倪妮,4
0,5,7,周冬雨,2
0,5,8,周冬雨喜欢你,5
0,5,9,周冬雨七月与安生,5
0,5,10,安迪,5
0,2,0,室内装修,3
0,2,1,室内装修冷淡风,5
0,2,2,室内装修北欧风格,3
0,2,3,室内装修小清新风格,4
0,2,4,室内装修小清新,5
0,2,5,室内装修温馨,4
0,2,6,室内装修浪漫,3
0,2,7,室内装修ins,5
0,2,8,室内设计,4
0,2,9,室内设计ins风,2
0,2,10,室内设计冷淡,4
0,2,11,室内设计简洁,4
0,7,0,星际穿越,5
0,7,1,你的名字,3
0,7,2,最近上映的电影,5
0,7,3,摩洛哥王妃,5
0,7,4,模仿游戏,5
0,7,5,七月与安生,5
0,7,7,电影海报,5
0,7,8,太平轮,5
0,1,0,海口,5
0,1,1,海口街道,4
0,1,2,海口地形图,4
0,1,3,海口建筑,4
0,1,4,海口地标建筑,4
1,6,0,蘑菇头表情包,4
1,6,1,小僵尸图片萌萌,4
1,2,0,中式装修效果图,3
1,2,1,中式装修风格,4
1,2,2,欧式风格装修图片,4
1,10,0,2016年美国大选电视辩论,4
1,10,1,2016年美国大选特兰普的胜选演说,4
1,11,0,哈利波特,2
1,11,1,哈利波特电影里的哈利波特,4
1,11,2,哈利波特电影里的赫敏,4
1,11,3,哈利波特电影里的伏地魔,4
1,9,0,舞会背景图片,2
1,9,1,舞会人与红酒杯,1
1,9,2,舞会图片包括人与红酒杯,1
1,9,3,舞会图片,4
1,9,4,舞会酒杯,2
1,7,0,狮子王图片大全,4
1,7,1,肖申克的救赎剧照,4
1,1,0,海口街道图,4
1,1,1,海口旅游景点,4
1,1,2,海口特色建筑,5
1,3,1,和白色亚麻T恤搭配男士,3
1,3,2,和白色亚麻T恤搭配的鞋男士,4
1,8,0,海绵宝宝简笔画,4
